"","genus","species","GrowthT","Rep","a_stem_area","b_stem_area","c_stem_area","RMSE_stem_area","r2_stem_area","a_stem_mass","b_stem_mass","c_stem_mass","RMSE_stem_mass","r2_stem_mass"
"data","Betula","alleghaniensis","15","3","1.18676268071205","0.0356334754842842","-0.000318627248256303","0.0305402900409431","0.95186835616964","-4.65529105425776","0.0357352541495574","-0.000320305453442132","0.0305438588426201","0.951877442184145"
"data","Betula","alleghaniensis","20","1","-3.4471004813399","0.296176634661491","-0.00393017365199545","0.155085063939732","0.929822792211378","-9.02677916557223","0.295770361370928","-0.00392394153535482","0.155498184711189","0.929352263456422"
"data","Betula","alleghaniensis","20","2","1.26264950840216","0.0441566961774628","-0.00026725494860555","0.10135125664172","0.823226754002417","-4.57232409563418","0.0441782724719864","-0.000267650748842417","0.101337481217191","0.823252127811374"
"data","Betula","alleghaniensis","20","3","-0.748952059172215","0.139914933753068","-0.00177895470111603","0.126611452544589","0.837120571481063","-6.18890557759379","0.140065135032757","-0.00178023612421881","0.126638591188147","0.837636084260213"
"data","Betula","alleghaniensis","30","1","0.181150345133997","0.0540672350299265","-7.84247658170719e-05","0.357117126991318","0.414483205932706","-5.6149455077989","0.0542242216057121","-8.04377713796805e-05","0.357116779443632","0.415129689851172"
"data","Betula","alleghaniensis","30","2","-2.54638776319217","0.217991584269915","-0.0025446961866585","0.0228384053008052","0.998339490193377","-8.17435437057578","0.218649005824841","-0.00255401371977501","0.0229152087491677","0.998334170543949"
"data","Betula","alleghaniensis","30","3","1.1632238952071","0.00240361219525072","0.000377703796821762","0.0522112581180316","0.938161859892676","-4.29960185522336","0.00228481457727621","0.000379612569990223","0.0517918141203595","0.939111831391122"
"data","Betula","alleghaniensis","35","1","-0.127800077009622","0.0300788312071895","0.000495334382963758","0.243022596911869","0.772505510931252","-6.19563558634043","0.0306700938030698","0.000486388891613807","0.242231924991811","0.774179121376078"
"data","Cucumis","sativa","15","1","0.260883462026538","-0.0640691938649116","0.00173102373080885","0.208204579761396","0.647172140585295","-4.64854994246894","-0.0624485575359003","0.00170358012551423","0.206514310652836","0.650907974965025"
"data","Cucumis","sativa","15","2","-7.04959034768603","0.517707747940928","-0.00662424195277383","0.0399396013440091","0.98920284612373","-12.7946326385363","0.517588225059527","-0.00662266313477672","0.0398490437993839","0.989247389203638"
"data","Cucumis","sativa","15","3","-6.65418428500881","0.431395948750821","-0.00492493318754139","0.0983729142251218","0.961635252699043","-12.3853732311751","0.431340110394907","-0.00492379603791022","0.0983938858827486","0.961633934664354"
"data","Cucumis","sativa","20","1","-0.643149950845946","0.014767238200781","0.00031314980990738","0.218458567269737","0.491121615957829","-4.91938707447291","0.0154914694194161","0.000300654675187271","0.216186737936149","0.498656983522758"
"data","Cucumis","sativa","20","2","-0.215839216415337","0.0916899738192891","-0.000780064384919816","0.0085748532769957","0.998081762320303","-5.50319361180699","0.0918055548135934","-0.000781083875292507","0.00835630221853548","0.998182587926542"
"data","Cucumis","sativa","25","2","-0.78944660006656","0.149439404341239","-0.00155611281401748","0.0520082816598304","0.987780477923746","-7.04996652763793","0.149109907135201","-0.00155082248941942","0.0520432740199442","0.987752363192427"
"data","Cucumis","sativa","30","1","-2.0645737041748","0.0742385509542981","-0.000201757295505965","0.0870904833546112","0.969588855386173","-6.52330478023134","0.0759973182538522","-0.000228391117096413","0.0866467179367778","0.970078782232251"
"data","Cucumis","sativa","35","1","-1.05148704130781","0.0793620647918634","-0.000635603797809632","0.174911394017223","0.760079817878913","-5.38654431842874","0.0800057637438509","-0.0006452269659628","0.173342752311801","0.764707889028164"
"data","Cucumis","sativa","35","2","-1.41010204860383","0.0708727634282704","-0.000451910303435196","0.144623391949045","0.845990630042153","-5.52268811062939","0.0724641592957563","-0.000477531926852828","0.14259569333138","0.850606547900039"
