"","genus","species","GrowthT","Rep","a_stem_area","b_stem_area","c_stem_area","RMSE_stem_area","r2_stem_area","a_stem_mass","b_stem_mass","c_stem_mass","RMSE_stem_mass","r2_stem_mass"
"data","Glycine","max","15","2","2.29658312014448","-0.110222082338682","0.00234456479940367","0.366058813989608","0.112840297251123","-3.74578558013205","-0.110217109753325","0.00234424916149493","0.365631497471573","0.113635977128299"
"data","Glycine","max","15","3","3.47553955594521","-0.201498220023895","0.00367754919657167","0.215883625062308","0.631372634682549","-2.31605602654106","-0.201613212959114","0.00367957885402111","0.216251780105473","0.630648937015372"
"data","Glycine","max","15","4","-1.26788776126589","0.0586465785623238","7.26159442089909e-05","0.0671299011523555","0.981947369657076","-6.34748916895993","0.0583780075234919","7.66495224178214e-05","0.0662635438306144","0.9823890980742"
"data","Glycine","max","15","5","-1.12963043499936","0.060249108234572","-0.000376538452630296","0.0677656743919539","0.951354704545129","-6.00091151670126","0.0599818395867627","-0.000374510622377438","0.0678905854423351","0.95080694494778"
"data","Glycine","max","15","6","0.0567577540179242","0.0668295826820022","-0.000502604270999061","0.174517239189548","0.716837011973035","-5.82231583590805","0.0667550814734248","-0.00050143400812795","0.175007849487896","0.715395832750186"
"data","Glycine","max","20","1","0.518977222841449","-0.0455934555767372","0.0012791594081381","0.288031903081095","0.190111568025532","-4.49324507415111","-0.0448419870398734","0.0012658591254294","0.285848466234227","0.195462706691675"
"data","Glycine","max","20","3","-4.31694413420569","0.27875011951495","-0.00310515610500575","0.223128236393378","0.923443921681438","-10.1238984475826","0.280024092647871","-0.00312063571896148","0.223181655107582","0.923969687466858"
"data","Glycine","max","25","1","-0.604261111031288","0.0747819815267412","-0.000741261480305935","0.113249058978509","0.818968486193943","-5.48279842523458","0.0740887052424826","-0.000729964774272843","0.112821556955545","0.819741500296221"
"data","Glycine","max","30","1","-2.56678093639229","0.135762233345522","-0.00140289384323011","0.0494498090462019","0.98710149733741","-7.55363576989385","0.136885910040147","-0.00142237037105847","0.0495339348394464","0.987062128968355"
"data","Glycine","max","30","2","0.00571833078490633","0.0557290990159096","-0.000415364292531083","0.0910687980810407","0.877307204484533","-5.91488616372039","0.0558865519275205","-0.000417513471364769","0.0914167041870953","0.876661954860641"
"data","Glycine","max","30","3","-6.79296732636647","0.451977695754845","-0.00546629045954624","0.0677571637292479","0.974459210405631","-12.7058453344449","0.452163392899991","-0.00546877274529637","0.0679091682441422","0.974357601926023"
"data","Glycine","max","30","4","1.12023009149484","-0.133715564586911","0.0028502151016165","0.171979946147582","0.768660167179646","-4.01083172176622","-0.134167906511997","0.00285563048517974","0.172619193891657","0.766318892182159"
"data","Glycine","max","30","5","0.234285741604525","-0.0533135945267779","0.00145301154414367","0.337557752843882","0.172712377892321","-4.67934715255265","-0.0544393384257502","0.00147424766635395","0.341236108200769","0.167430622243603"
"data","Glycine","max","30","6","-1.83379226794748","0.204568516780205","-0.00259905896798641","0.15635702155326","0.881938269992879","-7.74439703109316","0.204603225627159","-0.0025993355969097","0.155888548433078","0.882674995612411"
"data","Glycine","max","35","1","-2.0464595803323","0.238053469156216","-0.00318836393246926","0.00391779124694827","0.999243971302552","-7.45901570724331","0.238063178937029","-0.00318779081062956","0.00397494855076355","0.999223700617253"
"data","Pinus","nigra","15","2","-0.498350299059023","0.150993344102079","-0.00187016026566496","0.0201718044797637","0.996617171731788","-6.79767063261291","0.150785777320816","-0.00186735632501184","0.020328717041252","0.996556952735389"
"data","Pinus","nigra","15","3","-0.136065976873803","0.109678676386219","-0.00115607505428615","0.0512928870003726","0.977810134529316","-6.51507873606128","0.109759243147684","-0.0011567937444807","0.0513381659011408","0.977811179706494"
"data","Pinus","nigra","20","1","-0.863438210984573","0.0714032410183555","-0.000599035427019101","0.0333976383323553","0.986900097506266","-6.400040684264","0.0711323809858084","-0.000594944783622131","0.0337378800201834","0.986609803139997"
"data","Pinus","nigra","20","2","-2.17448896610718","0.243526004963747","-0.00307245772577888","0.0729736375046235","0.981739660352718","-8.74949748525424","0.243233604985545","-0.00306843651227498","0.0731995136605187","0.981593089509574"
"data","Pinus","nigra","20","3","-1.70231854520095","0.234000403788763","-0.00301637150695074","0.103206696401123","0.95587116500328","-8.27972717527429","0.233673645302128","-0.00301141793133623","0.103027480354785","0.955954396174046"
"data","Pinus","nigra","25","1","-3.54471951343266","0.247593532319934","-0.00327672183042101","0.102887904033152","0.957331135466135","-8.94887560237273","0.245993140537603","-0.00325358136972597","0.101371352607886","0.958152464305751"
"data","Pinus","nigra","25","2","-0.489964652493424","0.123362722898982","-0.0012579483593213","0.0643956464565188","0.975271915984186","-6.99015567298656","0.12370254164117","-0.00126302931828349","0.0639244687261522","0.975661773761788"
"data","Pinus","nigra","25","3","2.44563795076609","-0.0427882209682579","0.00077812682125066","0.0680805968889585","0.254742717523837","-3.85594124522076","-0.0430661081147679","0.00078291356766855","0.0681274078832091","0.259002907116745"
"data","Pinus","nigra","30","1","-3.35589005948234","0.210759240498008","-0.002587918323609","0.0650022187113786","0.982885077623896","-8.84116168905874","0.208775392266715","-0.00256017087971711","0.0624257494255571","0.983997064002836"
"data","Pinus","nigra","30","3","-0.942469186701956","0.147114979074609","-0.00168247857792293","0.0150182345266772","0.998582415319977","-7.49755557447533","0.147122068282898","-0.00168229961647388","0.0149464310239656","0.998596884241099"
"data","Pinus","nigra","35","1","-0.0759663889999458","0.0375530422834776","-0.000225760042585779","0.214417560884041","0.249154620310444","-5.6480618846392","0.0381468382017178","-0.000234790177921845","0.21420947344753","0.25262437429005"
"data","Pinus","nigra","35","2","-0.442433174263083","0.0690696407697741","-0.000257493349742303","0.34980923467312","0.504066777871057","-6.8028243711757","0.0686510604839398","-0.00025146807999574","0.350747041729997","0.501179066897024"
"data","Pinus","pinaster","15","2","-3.81508894668457","0.313617971718695","-0.00353977954723491","0.0616868205495765","0.970651380070118","-10.5330678389734","0.313662939113048","-0.0035404738584244","0.0616168996917174","0.970715097337164"
"data","Pinus","pinaster","20","2","-6.91115476894681","0.510151130574415","-0.00631765872316393","0.0538419965524066","0.99743145277922","-13.7133471368753","0.510611138964985","-0.00632370915293327","0.0539415418703431","0.997425975917953"
"data","Pinus","pinaster","25","1","-1.26417618124311","0.146654245747769","-0.00179827866078887","0.0482733592446884","0.980807208156677","-7.00168437343233","0.146389074898853","-0.00179356550960137","0.0479251747724692","0.981078808977987"
"data","Pinus","pinaster","25","2","1.21211761816015","0.0106752588440348","0.000285026566406263","0.113572037253234","0.827058521565791","-5.46880726329463","0.0108166577276827","0.000282855046105896","0.113330977554335","0.827736608319553"
"data","Pinus","pinaster","25","3","-0.550757880943447","0.16870340156931","-0.00213371295136426","0.124671559878934","0.892254312666537","-7.25726528625925","0.168831374295222","-0.0021353821266563","0.124591914116467","0.892527270077885"
"data","Pinus","pinaster","30","1","-1.83329453503146","0.128783511987748","-0.00136257759866026","0.0491185919435703","0.984647356486926","-7.87303837238852","0.128780588156329","-0.00136121354429014","0.0492234835930405","0.984627821266417"
"data","Pinus","pinaster","30","2","-0.39973156129588","0.124019042478367","-0.0013100317160081","0.0640275950862244","0.873362065630077","-7.1088485883689","0.12441240144125","-0.0013156865072303","0.0640097024573406","0.873532944559484"
"data","Pinus","pinaster","35","1","-1.63799686142027","0.162925366088168","-0.00179418050792677","0.0732394572378532","0.976478405983837","-7.40309915325209","0.162295044551016","-0.00178430513001825","0.0735188262885207","0.976247504234837"
"data","Pinus","pinaster","35","2","1.94266431907536","0.00988294021105194","0.000187372355214838","0.0767834399456444","0.543059161777631","-4.81718569632177","0.0100899463782215","0.000184041060501641","0.0766440931849681","0.543927434153371"
"data","Pinus","pinaster","35","4","-1.62645065078123","0.150133549904794","-0.00159165337216709","0.0806922221754687","0.970002670019762","-7.71113867308958","0.150682857787688","-0.00159941580309671","0.0802722234520173","0.970413865707989"
"data","Pinus","pinaster","35","5","-3.99537292564408","0.271115111473545","-0.00330550809711123","0.0937064493938788","0.97914078631734","-9.86606583269201","0.271058549295323","-0.00330611563313277","0.0934187431797","0.979223845617502"
"data","Pinus","pinea","15","1","-1.80567488022583","0.13411492544623","-0.00149561701604782","0.0614664252567452","0.974583635561417","-7.74706079656908","0.134649401710291","-0.00150429600122891","0.060703906677342","0.975242713734505"
"data","Pinus","pinea","20","1","-0.356771872254577","0.0985167575184777","-0.00112821125484309","0.0864026826133392","0.90078897236154","-6.26545545954187","0.098461610893524","-0.00112688270493839","0.0860705654163728","0.901620218005591"
"data","Pinus","pinea","25","1","-2.63487700860674","0.225085294489786","-0.00286580401938648","0.0156130903294759","0.998967436551052","-8.56645328706531","0.223988332693721","-0.00284841908806359","0.0160386832256351","0.998906044118275"
"data","Pinus","pinea","25","2","-0.44064351776461","0.143417874394112","-0.00187686318281143","0.0922371223944088","0.901859151262988","-7.4197249019373","0.143298206942681","-0.00187542103038615","0.0924916609320749","0.90115439555313"
"data","Pinus","pinea","30","1","-1.62669180184163","0.106153045812343","-0.000813517959419453","0.00636362553717529","0.999811071571447","-7.54975323935646","0.106868803361625","-0.000822475655420999","0.00509755492848884","0.999879569918287"
"data","Pinus","sylvestris","15","1","-6.6811732607562","0.428439591682674","-0.00565780302730359","0.195928433105896","0.948481144441018","-12.575038556945","0.426274406846458","-0.00562680869980551","0.195193535144793","0.948461772653306"
"data","Pinus","sylvestris","20","2","-1.14625137018971","0.186718282056886","-0.00240599942270284","0.0666285218887739","0.971122914966044","-7.64852007726442","0.186899810338863","-0.00240839014723663","0.0668176662761518","0.971013646443758"
"data","Pinus","sylvestris","25","1","-1.2376723120585","0.156993728136778","-0.00195035140196567","0.066251903351653","0.967588622106369","-6.96276046528815","0.157009253180043","-0.00195140453194947","0.0664117661697571","0.967378452943511"
"data","Pinus","sylvestris","25","2","0.264770937858389","0.0389613378735205","-7.85575198118786e-05","0.191147762721218","0.669828777748074","-6.1527485044754","0.0385088643213725","-7.21811259037388e-05","0.191392321219936","0.668361892351108"
"data","Pinus","sylvestris","30","1","-2.49339192435431","0.135379814187585","-0.00136675491043154","0.0703272550664606","0.975282358807829","-8.28354511105239","0.136411103772487","-0.00137978788836345","0.0697694761752963","0.975904290941115"
"data","Pinus","sylvestris","30","2","-2.91478845451926","0.174475267123213","-0.00155573398191723","0.0415268072016862","0.996160182994465","-8.59799509380246","0.173498617464552","-0.00153996616018024","0.0431558505050777","0.995847542185438"
"data","Pinus","sylvestris","30","3","-1.12035061678846","0.15854762623281","-0.00184727185606479","0.0400843806380711","0.990653244172798","-7.56593549515812","0.158503430259696","-0.00184638404414096","0.0398796965570072","0.990750213345507"
"data","Pinus","sylvestris","35","1","-1.48397960945235","0.115444575876758","-0.00120571981753721","0.148433380151645","0.84687846450996","-7.11836638202804","0.115056689802807","-0.00119850304973212","0.14917260502454","0.845626074247122"
"data","Pinus","sylvestris","35","2","-1.31135614060518","0.150731075002351","-0.0015722598871391","0.0335970434810031","0.995128753271404","-7.80496499965185","0.151100132259983","-0.00157689410497877","0.033584651736573","0.99514802610296"
"data","Pinus","sylvestris","35","3","-0.0553280797045814","0.0850151222460609","-0.000719166998216678","0.196893470119574","0.723011761276984","-6.5720438842467","0.0849941560139842","-0.000719562266875478","0.196799744981491","0.722749642138805"
