"","genus","species","GrowthT","Rep","a_leaf_area","b_leaf_area","c_leaf_area","RMSE_leaf_area","r2_leaf_area","a_leaf_mass","b_leaf_mass","c_leaf_mass","RMSE_leaf_mass","r2_leaf_mass"
"data","Pinus","nigra","15","2","-1.45001240003467","0.0804507973104543","-0.000317492412006869","0.063036388972769","0.983989656555232","-6.66978789017905","0.0804507973171893","-0.000317492411884787","0.0630363890662879","0.983989656515242"
"data","Pinus","nigra","15","3","-1.73079291702248","0.0464621802691309","7.23678745527562e-05","0.0551760679468922","0.98278861482687","-6.62217943417876","0.0464621801121401","7.23678767759622e-05","0.0551760681324689","0.982788614696162"
"data","Pinus","nigra","20","1","-0.116789974806227","-0.162609011290139","0.00432458725998111","0.459510443980598","0.684772004659338","-5.19247543376741","-0.16260901116378","0.00432458725916736","0.45951044487301","0.684772004025629"
"data","Pinus","nigra","20","2","-2.17189190306693","0.138304969669779","-0.00133959825287319","0.0424775046884441","0.99228214609274","-7.24069109397209","0.138304969585481","-0.00133959825164204","0.0424775047301232","0.992282146074081"
"data","Pinus","nigra","20","3","1.24763701171002","-0.131405019500026","0.0028207163325544","0.185455859182284","0.778814754190239","-3.90061278480517","-0.131405019419366","0.00282071633125594","0.185455859107129","0.778814754314589"
"data","Pinus","nigra","25","1","-1.66574766340996","0.144803634350059","-0.00146272395867498","0.0245547539967435","0.997383264765713","-6.75804568117707","0.144803634320552","-0.00146272395827599","0.0245547539336997","0.997383264778541"
"data","Pinus","nigra","25","2","-1.56855337787677","0.130984111768036","-0.00115198708451099","0.0173354670615485","0.99902295675785","-6.65278976218642","0.130984111798839","-0.00115198708490314","0.0173354670817823","0.999022956755794"
"data","Pinus","nigra","25","3","-0.215945194420404","-0.0117962997919318","0.00118290676509043","0.153888307531029","0.898536814619917","-5.43708776371889","-0.0117962998568673","0.00118290676594941","0.153888307565115","0.898536814535069"
"data","Pinus","nigra","30","1","-2.90308962453875","0.138508053448676","-0.0013319187124589","0.0666259986465975","0.981411118950322","-7.51319424757548","0.138508053678963","-0.00133191871628319","0.066625998644449","0.981411118958688"
"data","Pinus","nigra","30","3","-2.44091874699128","0.117965822899418","-0.000978793243235348","0.0367458576564524","0.994544609299253","-7.56280039016039","0.117965822978192","-0.000978793244499234","0.0367458578406666","0.994544609245442"
"data","Pinus","nigra","35","1","-1.27806442229278","0.00278828961374777","0.000800575864716315","0.207910655610268","0.759146410146826","-6.21265569091899","0.00278828998931413","0.000800575858713577","0.207910655048422","0.75914641144273"
"data","Pinus","nigra","35","2","-0.557986180616805","-0.0636745259137952","0.00178828417747069","0.510146408489851","0.254643431474711","-5.42668797938269","-0.0636745259604885","0.00178828417878753","0.510146409062481","0.254643431116921"
"data","Pinus","pinaster","15","2","-1.11969031998318","0.0633095414067518","-0.000148968745898783","0.0228205048529433","0.997291299785768","-5.83275668079526","0.0633095414187965","-0.000148968746014455","0.0228205048526559","0.997291299786353"
"data","Pinus","pinaster","20","2","-2.18603843336279","0.119902927653654","-0.000923689617196947","0.0267319588214365","0.997484193697457","-7.02260609590767","0.119902927699886","-0.000923689618040252","0.0267319588920928","0.99748419368406"
"data","Pinus","pinaster","25","1","-2.53295051230066","0.107598198989446","-0.000672666996007367","0.0347935735708972","0.995828548169852","-7.43329056446131","0.10759819922909","-0.000672666999485175","0.0347935733762955","0.995828548221267"
"data","Pinus","pinaster","25","2","-2.84391075986461","0.155859017344203","-0.00143868414003698","0.0423706844670982","0.994323492209281","-7.79383402847721","0.155859017177741","-0.00143868413751809","0.0423706846293253","0.994323492161994"
"data","Pinus","pinaster","25","3","-2.11763852861172","0.117173424636862","-0.000865141330417037","0.0330232230937918","0.99624405821553","-6.99410421378697","0.117173424700321","-0.000865141331175246","0.0330232230788833","0.996244058221078"
"data","Pinus","pinaster","30","1","-2.724448637588","0.0888719049164396","-0.0004705815328599","0.0683043160234972","0.979818765225888","-7.466800207009","0.0888719050029032","-0.000470581534040675","0.0683043162823734","0.979818765086494"
"data","Pinus","pinaster","30","2","-2.49168474778411","0.109302987994018","-0.000715071729243175","0.0576893562582663","0.988524957843083","-7.10164272666757","0.109302988234331","-0.000715071732655308","0.0576893564854777","0.988524957769163"
"data","Pinus","pinaster","35","1","-0.843237275474178","0.0515831716452379","-6.73679757273537e-05","0.0548800727002187","0.979785624155442","-5.63194187551906","0.0515831716875333","-6.73679762723485e-05","0.0548800726141969","0.979785624226551"
"data","Pinus","pinaster","35","2","-1.23285624048979","0.0960131032688275","-0.000778934377469786","0.0133916289270896","0.99887344169499","-5.94033135247251","0.0960131033132117","-0.00077893437799813","0.0133916289569116","0.99887344169059"
"data","Pinus","pinaster","35","4","-3.61701661955025","0.167182663673472","-0.00159488313985261","0.0808293433385145","0.981568616768826","-8.27104641771997","0.167182663690292","-0.00159488313952591","0.080829343330395","0.981568616789271"
"data","Pinus","pinaster","35","5","-7.25823984857731","0.395590003042788","-0.00491617204066093","0.0876451839074291","0.991239497518207","-11.7568344278919","0.395590001550574","-0.00491617201892074","0.0876451830926121","0.991239497639021"
"data","Pinus","pinea","15","1","-2.76669969274754","0.138092349407606","-0.00137012816439012","0.0459971251741348","0.990564701683023","-7.74811450174602","0.1380923495116","-0.00137012816599489","0.0459971253639425","0.990564701609029"
"data","Pinus","pinea","20","1","-2.19860910979092","0.14486838285286","-0.0013608715648512","0.00723545695967947","0.999808551800422","-7.34659914231091","0.144868382799864","-0.00136087156404099","0.00723545720243614","0.999808551787536"
"data","Pinus","pinea","25","1","-1.71887025134731","0.124907305020915","-0.00121258642112522","0.0416628696182742","0.990811843731982","-6.69886857606337","0.124907305000831","-0.00121258642054124","0.0416628698058674","0.990811843653893"
"data","Pinus","pinea","25","2","-1.69839913489716","0.100819899511211","-0.000724246389763771","0.06247014819832","0.984245633890482","-6.68871418216818","0.10081989953546","-0.00072424639007475","0.0624701479454708","0.984245634019867"
"data","Pinus","pinea","30","1","-8.79015745800508","0.479693699814543","-0.00617178394867711","0.135650479132343","0.982641373696092","-13.4831899725531","0.479693698536192","-0.00617178393052059","0.135650478455015","0.982641373799145"
"data","Pinus","sylvestris","15","1","-5.38336080594131","0.285698880232495","-0.00355348402744744","0.126044602570586","0.966982430371116","-10.6160548515002","0.285698879906709","-0.00355348402249904","0.12604460231069","0.966982430465603"
"data","Pinus","sylvestris","20","2","-1.91102086025402","0.112763714736575","-0.000888747545814141","0.0101854134096872","0.999548632113454","-7.0518318374631","0.112763714629184","-0.000888747544129721","0.0101854134445542","0.999548632110195"
"data","Pinus","sylvestris","25","1","-1.68004804506843","0.106282873417771","-0.000768214169033933","0.0485127493337068","0.990136897294998","-6.96041109770885","0.10628287350924","-0.000768214170444704","0.0485127492468822","0.990136897333534"
"data","Pinus","sylvestris","25","2","-2.79386367933465","0.155391986098818","-0.0016302803854926","0.0288076959332716","0.996256769811909","-7.59723371385919","0.155391986087526","-0.00163028038494219","0.0288076959638677","0.996256769806807"
"data","Pinus","sylvestris","30","1","-4.75584365648073","0.224229025977271","-0.00245396809313382","0.0382202964918323","0.9966030622315","-9.75592702399233","0.224229026180812","-0.00245396809598552","0.0382202967451531","0.996603062190017"
"data","Pinus","sylvestris","30","2","-0.295417645147023","0.0634575449991194","-0.000496911705737716","0.045747736144731","0.972744935631604","-5.53441843340717","0.0634575449206092","-0.0004969117044935","0.0457477361418544","0.97274493562445"
"data","Pinus","sylvestris","30","3","-1.59348376293092","0.0983276827281206","-0.00075211733301779","0.0562728907522898","0.984120668115153","-6.39050351056624","0.0983276826392979","-0.000752117331661167","0.0562728907659111","0.984120668102368"
"data","Pinus","sylvestris","35","1","-2.57541655690688","0.134314884006555","-0.00118278361160389","0.0199375569610229","0.998489166825277","-7.32307373121722","0.134314884043256","-0.00118278361180824","0.0199375570018983","0.998489166820215"
"data","Pinus","sylvestris","35","2","-1.82971236283031","0.122813977863153","-0.00104783763826481","0.0451093674049127","0.991501680688017","-6.78543189923782","0.122813977872089","-0.0010478376384795","0.0451093672116057","0.991501680759665"
"data","Pinus","sylvestris","35","3","-1.37741875487862","0.055846584483717","-2.44746687830578e-05","0.0530450417012772","0.984784758753256","-6.14542248601354","0.0558465845813918","-2.44746700321606e-05","0.0530450417061003","0.984784758764502"
"data","Zea","mays","15","1","-2.58285470652441","0.0901850286577542","-0.000603450050954002","0.044542640410839","0.990263313425375","-5.68780106938136","0.0901850288810725","-0.000603450053667068","0.0445426400585785","0.990263313600915"
"data","Zea","mays","15","2","-3.22767492793623","0.160454641761878","-0.00153441531450065","0.0144841537804551","0.999355281347259","-6.23350126672046","0.160454641817952","-0.00153441531513445","0.0144841536942441","0.999355281355284"
"data","Zea","mays","15","3","-0.239257974979331","-0.0577584710838494","0.00178574336787997","0.383877273019532","0.456461188167069","-3.41605747659509","-0.0577584710362968","0.00178574336693641","0.383877273130863","0.456461187761511"
"data","Zea","mays","20","1","0.0400222770806897","-0.0627867519433577","0.00196916687468406","0.0742319928461969","0.96622524231923","-3.51109199585891","-0.062786752068808","0.00196916687662951","0.0742319930399748","0.966225242134275"
"data","Zea","mays","20","2","-2.21790350334796","0.102518724739469","-0.00072499177291573","0.0534008377583578","0.987430968400736","-5.84183635838385","0.102518724858284","-0.000724991774556029","0.0534008378714851","0.987430968358177"
"data","Zea","mays","25","1","-3.14377200660586","0.171704417065811","-0.00173123348328981","0.15084038743218","0.932349761507308","-6.37149591775686","0.171704417163109","-0.00173123348435395","0.150840387569524","0.932349761454132"
"data","Zea","mays","25","3","0.118740762662321","-0.0223790569040267","0.000943734895914204","0.0960747719570137","0.901586349271139","-3.00244991287056","-0.0223790568657472","0.00094373489521717","0.0960747719939552","0.901586349171647"
"data","Zea","mays","30","2","-3.11964306550808","0.156727737959321","-0.00165257825758347","0.0603641050353648","0.984848558707926","-6.57134098143642","0.156727738250972","-0.00165257826209967","0.0603641052867472","0.984848558599786"
"data","Zea","mays","30","4","-3.39533524528472","0.128098732123465","-0.00069346726001141","0.0387949293384347","0.996898468117317","-6.79287040135026","0.128098732290907","-0.000693467262837037","0.0387949291050795","0.996898468154816"
"data","Zea","mays","30","5","-3.02623299641887","0.146570202301599","-0.0014707771336582","0.127858567753626","0.934211060378387","-6.36522901766307","0.146570202625189","-0.00147077713879923","0.127858568031284","0.934211060164499"
"data","Zea","mays","30","6","-0.345047893481954","-0.0520396929590603","0.00181489496773002","0.181307530361839","0.870786226698744","-3.81698614300935","-0.052039692900495","0.00181489496732696","0.181307530303859","0.870786226907272"
"data","Zea","mays","35","1","-1.30753755638769","-0.0342715774327451","0.00166640917321358","0.109013634848442","0.956963021849761","-4.62046811376705","-0.0342715771261741","0.00166640916820059","0.109013635019154","0.95696302172094"
"data","Zea","mays","35","2","-2.5804226776089","0.15295939457305","-0.0017259516084142","0.136656103867606","0.903222955575518","-6.0789299712103","0.152959394597296","-0.00172595160884687","0.136656103767023","0.903222955710469"
"data","Zea","mays","35","3","-1.85605364980528","0.101412580776316","-0.000769385544098474","0.0716314133717101","0.975663479021589","-5.43391537164577","0.101412580783264","-0.000769385543847804","0.0716314133186648","0.975663479075693"
