"","genus","species","GrowthT","Rep","a_leaf_area","b_leaf_area","c_leaf_area","RMSE_leaf_area","r2_leaf_area","a_leaf_mass","b_leaf_mass","c_leaf_mass","RMSE_leaf_mass","r2_leaf_mass"
"data","Betula","alleghaniensis","15","3","-1.9700198930331","0.076552942800702","-0.000309484429927722","0.0869725347986795","0.968255130042175","-6.00967835406761","0.0765529426266674","-0.000309484427627755","0.0869725346552247","0.968255130106885"
"data","Betula","alleghaniensis","20","1","-1.8258087153568","0.083280058133927","-0.00050445973907786","0.0269976685672223","0.99587348454648","-5.23235159014376","0.0832800582235409","-0.000504459740609582","0.0269976688442624","0.99587348446223"
"data","Betula","alleghaniensis","20","2","-3.48609634032735","0.18839993490488","-0.0019840896264679","0.0264859440474259","0.997944088126543","-6.9796063307887","0.188399934905279","-0.00198408962647877","0.0264859440840545","0.99794408812085"
"data","Betula","alleghaniensis","20","3","-1.3177443794442","0.0447031765191875","6.72195630292404e-05","0.0797219298396884","0.960288785068936","-4.82861661441635","0.0447031766001002","6.72195618717743e-05","0.0797219299109311","0.96028878501843"
"data","Betula","alleghaniensis","30","1","-5.08911119280576","0.278965682720172","-0.0033787991785264","0.0142826461354163","0.999561353439897","-8.85449669390638","0.278965682298355","-0.00337879917297951","0.0142826461697842","0.99956135343669"
"data","Betula","alleghaniensis","30","2","-1.88906946662826","0.0910243389191611","-0.000810919615153792","0.0178380045397545","0.997334366166458","-5.42593317359662","0.0910243390964303","-0.000810919618001131","0.0178380046705934","0.997334366129359"
"data","Betula","alleghaniensis","30","3","-3.19948923674585","0.16233806901939","-0.00167359045527624","0.0513515999851035","0.990446476408798","-6.75466537063463","0.162338068837083","-0.00167359045262484","0.0513516000799533","0.990446476365008"
"data","Betula","alleghaniensis","35","1","-4.33355710350286","0.23161346419751","-0.00262167568117059","0.104985466132381","0.974412215535593","-8.01586432180924","0.231613464560484","-0.00262167568637963","0.104985466044962","0.97441221562145"
"data","Cucumis","sativa","15","1","-8.28141281429256","0.436168380767444","-0.0055897756028441","0.231755111833003","0.942633354123303","-11.9367116165419","0.436168379238979","-0.00558977558127077","0.231755110985693","0.942633354234211"
"data","Cucumis","sativa","15","2","-1.94632496198228","0.120277813070021","-0.000987203349470874","0.041348481685999","0.993059542086961","-5.63867376636747","0.120277813104844","-0.000987203349972643","0.0413484816365317","0.993059542104825"
"data","Cucumis","sativa","15","3","-0.315571421864715","-0.00687825912335249","0.000964123577948873","0.156367109124316","0.87626922612465","-4.09914269083034","-0.00687825910734506","0.000964123577872527","0.156367109240577","0.876269226002024"
"data","Cucumis","sativa","20","1","-7.84930946205806","0.447200415161043","-0.00586726607673996","0.166371482834879","0.96684744993383","-11.5073062444717","0.447200414986141","-0.00586726607404066","0.166371482485532","0.966847450056692"
"data","Cucumis","sativa","20","2","-1.46078318017033","0.101076154911357","-0.000792712808497208","0.0919998609081017","0.959167459549315","-5.25238174681615","0.101076154954823","-0.000792712809229283","0.0919998607522567","0.959167459685457"
"data","Cucumis","sativa","25","2","-1.88595298997217","0.091632986331241","-0.000570425906760792","0.0311782531972802","0.992283767831089","-5.66007242652116","0.0916329861779425","-0.000570425904490139","0.0311782530255212","0.992283767908228"
"data","Cucumis","sativa","30","1","-6.13017062284733","0.313100018562139","-0.00385089485957546","0.108974829354496","0.978688354639435","-9.90895094540757","0.313100017660651","-0.00385089484693242","0.108974828847855","0.978688354749762"
"data","Cucumis","sativa","35","1","-3.63473397149716","0.224177553516029","-0.00269011756642088","0.0734470362210697","0.982874855617588","-7.02691032807866","0.224177553272174","-0.00269011756245259","0.0734470360872558","0.982874855667576"
"data","Cucumis","sativa","35","2","-2.1624973011158","0.129655488155929","-0.00130479934768309","0.0340124382346958","0.993708076478864","-5.29030720675444","0.129655488146137","-0.00130479934701502","0.0340124383276333","0.993708076450522"
"data","Glycine","max","15","2","-1.33356990382359","0.0668888038887448","-0.000134312440473139","0.0298368647888336","0.995802861691941","-5.13516181966573","0.0668888037454944","-0.000134312438102313","0.029836864865201","0.995802861669744"
"data","Glycine","max","15","3","0.362840718495223","-0.0710299160110648","0.00133875682483829","0.0731288226830079","0.730364079013265","-3.53552308423574","-0.0710299161519743","0.00133875682683417","0.0731288224361467","0.730364080638035"
"data","Glycine","max","15","4","-3.04544373235439","0.17654948365388","-0.00184046923514354","0.0222738352821486","0.998407687986591","-6.42973814559546","0.176549483663879","-0.00184046923519637","0.0222738352774479","0.998407687987569"
"data","Glycine","max","15","5","-2.46968779388207","0.126489705641013","-0.000957053106927915","0.0237117750885128","0.998200436769281","-6.02780630966204","0.126489705594251","-0.000957053105985532","0.023711775113175","0.998200436765895"
"data","Glycine","max","15","6","-1.27041642923369","0.045832278671853","0.000267259694694022","0.123549961684244","0.945504358509371","-5.00928966016553","0.045832278892304","0.000267259691293302","0.123549961490055","0.94550435869859"
"data","Glycine","max","20","1","-2.80287438575805","0.115863831399255","-0.000840421666440194","0.142080722822457","0.928218325015491","-6.74495512646871","0.115863831476254","-0.000840421667703496","0.142080723002668","0.928218324850938"
"data","Glycine","max","20","3","-0.637834728466471","-0.0246544407290174","0.0015103847926236","0.341142100525224","0.654141052462805","-4.54688724010669","-0.0246544407161356","0.00151038479249675","0.34114210043126","0.654141052664869"
"data","Glycine","max","25","1","-8.13047928186667","0.458210080522252","-0.00580053405458582","0.344338030885117","0.89810165464718","-11.6202260211402","0.458210080639974","-0.00580053405612519","0.344338030771871","0.898101654756769"
"data","Glycine","max","30","1","-1.17578567896726","-0.0428440839990065","0.00206267863128364","0.0994802458696569","0.966896434578885","-4.72625876339198","-0.0428440841406794","0.00206267863408831","0.0994802459019962","0.966896434573237"
"data","Glycine","max","30","2","-1.06421508339113","0.0606874763412392","-0.000324285048522073","0.0217114575369538","0.995868950174286","-4.54894767762676","0.0606874763640651","-0.00032428504899834","0.0217114575430882","0.995868950170943"
"data","Glycine","max","30","3","-2.62312893342965","0.150648865519918","-0.0015573942992884","0.0257972613928649","0.99719981837341","-5.99690849630304","0.150648865588671","-0.00155739430021036","0.0257972615363681","0.99719981834379"
"data","Glycine","max","30","4","-2.21944661538604","0.139683265183127","-0.00141987914879445","0.030423191134099","0.995604137258634","-5.67038793317231","0.139683265033722","-0.00141987914636364","0.0304231911699513","0.995604137246621"
"data","Glycine","max","30","5","-1.92495357781879","0.108222195385182","-0.000934688005676434","0.0229029925848076","0.997102133467214","-5.54304129311478","0.108222195423223","-0.000934688006447913","0.0229029926047301","0.997102133461642"
"data","Glycine","max","30","6","-2.54332995443244","0.147283769830758","-0.00147901847226958","0.00947887429666767","0.999636720201225","-6.03423715764802","0.147283769962715","-0.00147901847436391","0.00947887434052224","0.999636720198003"
"data","Glycine","max","35","1","-5.17519462507403","0.313393466479394","-0.00404724005581828","0.0317161841169163","0.997812231686308","-8.5372593165641","0.313393466891582","-0.00404724006203036","0.0317161843971152","0.997812231651281"
