"","Genus","Species","Source","Rep","GrowthT","Larea_P","Lmass_P","LMA_P","Nconc_P","Cconc_P","Nper_P","Cper_P","CN_P","Larea_R","Lmass_R","LMA_R","Nconc_R","Cconc_R","Nper_R","Cper_R","CN_R","Vcmax23","Ha_Vcmax","deltaS_Vcmax","Vpmax23","Ha_Vpmax","deltaS_Vpmax","Jmax23","Ha_Jmax","deltaS_Jmax","a_Vcmax","b_Vcmax","c_Vcmax","a_Vpmax","b_Vpmax","c_Vpmax","a_Jmax","b_Jmax","c_Jmax","RMSE_vcmax_nls","RMSE_vpmax_nls","RMSE_jmax_nls","RMSE_vcmax_lm","RMSE_vpmax_lm","RMSE_jmax_lm","Vcmax14_obs","Tleaf14_Vcmax_obs","Vcmax23_obs","Tleaf23_Vcmax_obs","Vcmax32_obs","Tleaf32_Vcmax_obs","Vcmax41_obs","Tleaf41_Vcmax_obs","Vcmax50_obs","Tleaf50_Vcmax_obs","Vpmax14_obs","Tleaf14_Vpmax_obs","Vpmax23_obs","Tleaf23_Vpmax_obs","Vpmax32_obs","Tleaf32_Vpmax_obs","Vpmax41_obs","Tleaf41_Vpmax_obs","Vpmax50_obs","Tleaf50_Vpmax_obs","Jmax14_obs","Tleaf14_Jmax_obs","Jmax23_obs","Tleaf23_Jmax_obs","Jmax32_obs","Tleaf32_Jmax_obs","Jmax41_obs","Tleaf41_Jmax_obs","Jmax50_obs","Tleaf50_Jmax_obs","Topt_Vcmax","Topt_Vpmax","Topt_Jmax","Vcmax25","Vpmax25","Jmax25","Vcmax25_poly","Vpmax25_poly","Jmax25_poly","Topt_Vcmax_poly","Topt_Vpmax_poly","Topt_Jmax_poly","a","b","c","RMSE_R","phenology","climate","lifespan","photosynthesis","PFT","R25","R_Topt"
"11","Andropogon","gerardii","A",3,25,8.065,0.0355,0.004401736,0.024,0.682,1.59,44.55,"28.41666667",8.065,0.0355,0.004401736,0.024,0.682,1.59,44.55,"28.41666667",20.97989132,24748.63819,640.6783997,27.12008544,67855.80355,-9999,51.29630785,55629.31218,641.7202366,0.508141288,0.186453827,-0.003230821,0.792991429,0.098723049,1.12e-05,0.689662853,0.222832164,-0.00336348,5.278029993,6.490233877,6.101477188,0.182466488,0.179232763,0.054142174,10.62022309,13.942,29.70775925,22.984,19.47660876,31.995,13.83482168,40.956,10.49317181,46.049,9.828317764,13.942,15.91320729,22.984,64.71170084,31.995,138.2981002,40.956,194.1255039,46.049,23.22553964,13.942,55.0373908,22.984,85.1762847,31.995,59.59088819,40.956,47.47728485,46.049,312.7422219,-9999,313.2259682,22.19813792,32.6270615,58.95430764,23.34128416,26.25975531,63.96217934,28.85548424,-4426.311221,33.12524009,-1.774876104,0.07085914,-0.000322938,0.050634047,"nonevergreen","nontropical","perennial","C4","NC4",0.814456979,109.7102347
"12","Andropogon","gerardii","A",1,30,-9999,-9999,-9999,0.036,0.737,2.16,44.42,"20.47222222",-9999,-9999,-9999,0.036,0.737,2.16,44.42,"20.47222222",20.92669831,30012.51448,632.7775116,6.845111502,144498.0003,-9999,75.10767385,29017.96416,625.5144522,0.940806623,0.145814827,-0.002215869,2.558509445,-0.030317516,0.002350163,2.551325815,0.113603199,-0.001485452,1.908562487,13.0983979,4.03273641,0.025068527,0.043471906,0.010512198,12.79129759,14.04977083,22.73231369,22.99938316,28.67137829,31.8949667,23.34903158,40.97392197,21.27609361,44.73224869,13.10208663,14.04977083,23.61759687,22.99938316,52.31269656,31.8949667,182.722464,40.97392197,383.7737513,44.73224869,47.06907605,14.04977083,80.49202608,22.99938316,104.4883789,31.8949667,112.8658942,40.97392197,105.0048471,44.73224869,316.8017645,-9999,320.459691,22.61225929,10.14729751,81.14000818,24.56344808,26.29616484,86.74719889,32.90240976,6.450089353,38.23858969,-2.25259909,0.077168583,-0.000253565,0.09865534,"nonevergreen","nontropical","perennial","C4","NC4",0.617631816,152.1671413
"13","Andropogon","gerardii","A",2,30,-9999,-9999,-9999,0.028,0.617,1.99,43.38,"22.03571429",-9999,-9999,-9999,0.028,0.617,1.99,43.38,"22.03571429",16.3541827,10657.21441,607.4967479,9.775675763,145558.7028,-9999,54.96456193,23886.60845,-9999,1.86463027,0.061068588,-0.000810706,1.757009999,0.019169114,0.001845306,2.252022863,0.104597223,-0.001164406,1.807530005,11.40862425,7.322197409,0.077965207,0.032064079,0.087176626,12.54321751,13.90951519,18.08664914,22.9137392,20.04620284,32.02151699,17.7089037,40.90717163,21.5328136,44.61120071,10.60594747,13.90951519,24.91546727,22.9137392,68.69980561,32.02151699,272.1662857,40.90717163,549.7068094,44.61120071,31.06303561,13.90951519,63.21931617,22.9137392,78.5876249,32.02151699,87.13148171,40.90717163,109.4364041,44.61120071,329.4736636,-9999,-9999,16.83249484,14.53354893,58.66044841,17.89736695,29.65272142,62.75256795,37.66382259,-5.194021407,44.91440142,-5.497384403,0.193817009,-0.001146589,0.059436511,"nonevergreen","nontropical","perennial","C4","NC4",0.254468671,84.51892689
"14","Andropogon","gerardii","A",3,30,-9999,-9999,-9999,0.033,0.651,2.2,43.32,"19.72727273",-9999,-9999,-9999,0.033,0.651,2.2,43.32,"19.72727273",22.36126505,7058.213128,626.166693,20.77261211,102454.0384,-9999,69.99889013,26565.43977,625.0534414,2.01593856,0.084369176,-0.00148406,1.49040593,0.063571794,0.000774359,2.140587901,0.137947283,-0.001892505,3.673797427,12.007931,11.73070238,0.12886884,0.050488214,0.093892497,17.16504267,14.03721704,28.15556879,22.97297077,22.17305881,31.96970825,17.04733544,40.95176773,20.39343265,43.5978447,12.75430033,14.03721704,27.65880817,22.97297077,79.41187677,31.96970825,203.9531059,40.95176773,322.8030137,43.5978447,39.38110681,14.03721704,79.7835098,22.97297077,100.28263,31.96970825,86.8005816,40.95176773,107.8478626,43.5978447,319.5589833,-9999,320.6258804,22.75100904,27.46089018,75.12460143,24.4744745,35.29267055,81.97828561,28.4251308,-41.04799735,36.44568703,-1.597895316,0.051364048,0.000160036,0.011070096,"nonevergreen","nontropical","perennial","C4","NC4",0.807532562,-160.4769964
"15","Andropogon","gerardii","A",1,35,12.06,0.0597,0.004950249,0.034,0.726,2.04,43.07,"21.35294118",12.06,0.0597,0.004950249,0.034,0.726,2.04,43.07,"21.35294118",15.94888004,19693.4776,628.8107348,15.79207092,95575.07669,-9999,59.00975918,29585.45026,628.3547505,1.144634522,0.116382382,-0.001835694,0.730819482,0.109433556,-0.000134097,1.915865425,0.143920494,-0.002035145,1.228346026,15.66728643,7.062895825,0.021449935,0.120003092,0.03836314,11.14161314,14.12,17.89740838,23.039,19.24689201,32.039,17.09322922,41.008,14.15100264,45.329,9.473011431,14.12,23.19476506,23.039,68.67555166,32.039,120.2494846,41.008,251.3665629,45.329,34.18110417,14.12,64.56401895,23.039,86.30001142,32.039,75.68690539,41.008,73.78091978,45.329,318.5207076,-9999,319.0243634,16.78297691,20.48912471,63.80115831,18.29970745,29.45453947,69.54070171,31.69982506,408.0402172,35.35878322,-1.662317749,0.117916082,-0.001386322,0.101181639,"nonevergreen","nontropical","perennial","C4","NC4",1.52064298,42.52839893
"16","Andropogon","gerardii","A",2,35,13.164,0.0658,0.004998481,0.033,0.692,1.95,41.43,"20.96969697",13.164,0.0658,0.004998481,0.033,0.692,1.95,41.43,"20.96969697",17.86500137,14037.54981,616.4536823,4.691503623,157534.2981,-9999,62.02251021,33503.30349,621.2094188,1.860322746,0.066831249,-0.000889024,0.996339231,0.068247059,0.000872482,2.232362131,0.113804633,-0.001285748,1.384533531,19.47001445,4.099342478,0.048772346,0.107298364,0.016786465,13.3390943,13.935,20.11392469,22.975,20.87520886,32.039,21.54144527,40.923,22.57979593,44.248,8.116390169,13.935,21.34514962,22.975,61.84337221,32.039,157.5468828,40.923,349.2599512,44.248,35.13645559,13.935,66.17150461,22.975,94.14653038,32.039,112.0903018,40.923,117.5640035,44.248,324.7670122,-9999,322.8220151,18.55018612,7.206202387,67.87706666,19.59870978,25.73410046,71.80006825,37.58684869,-39.11086753,44.2561948,-2.674486752,0.095502078,-0.000329221,0.056329923,"nonevergreen","nontropical","perennial","C4","NC4",0.610975746,145.0424498
"17","Andropogon","gerardii","A",3,35,14.873,0.081,0.00544611,0.031,0.732,1.8,42.32,"23.61290323",14.873,0.081,0.00544611,0.031,0.732,1.8,42.32,"23.61290323",18.43930424,22976.05153,628.4364344,2.978615583,160608.2287,-9999,54.63907346,37818.00337,625.8742907,-0.093275643,0.20389484,-0.003072577,2.111446065,-0.023360903,0.002214825,1.679344246,0.145248608,-0.001813579,5.411185601,14.43744688,4.05767246,0.218831752,0.127786263,0.004336041,7.574302627,13.962,28.05735697,23.028,20.01749047,31.954,21.52557518,41.001,18.60967555,45.336,9.452434944,13.962,13.89662853,23.028,45.00849514,31.954,110.7281815,41.001,293.2838202,45.336,28.57843522,13.962,58.36166741,23.028,86.71331417,31.954,98.63164993,41.001,93.16883008,45.336,318.7975695,-9999,320.5458966,19.58024864,4.613663624,60.45493169,21.83982255,18.38783047,65.17476954,33.17978223,5.27375839,40.04473747,-2.949743239,0.131061837,-0.001133168,0.03157331,"nonevergreen","nontropical","perennial","C4","NC4",0.682886197,57.82985635
"18","Betula","alleghaniensis","A",1,15,28.496,0.1592,0.005586749,0.033,0.935,1.57,43.87,"28.33333333",28.496,0.1592,0.005586749,0.033,0.935,1.57,43.87,"28.33333333",34.15195583,79757.00969,649.3901518,-9999,-9999,-9999,72.52288581,53540.27303,649.7154364,-0.610311955,0.290660157,-0.004563022,-9999,-9999,-9999,1.03603882,0.246896435,-0.004383442,3.104629413,-9999,1.679497164,0.151022783,-9999,0.093053707,13.91148158,13.94058015,31.49842718,22.94330025,63.6246246,31.87378091,44.69674636,40.84368867,25.96069111,43.36612638,-9999,13.94058015,-9999,22.94330025,-9999,31.87378091,-9999,40.84368867,-9999,43.36612638,39.53520002,13.94058015,69.76396957,22.94330025,97.97663968,31.87378091,45.0016213,40.84368867,31.97313088,43.36612638,310.6190622,-9999,309.2738176,41.17982207,-9999,81.32655061,44.89396454,-9999,87.25181077,31.84952553,-9999,28.162392,-3.785650581,0.216674747,-0.002435629,0.09249484,"nonevergreen","nontropical","perennial","C3","BoBD",1.115106725,44.48024913
"19","Betula","alleghaniensis","A",2,15,25.021,0.1382,0.00552336,0.047,1.122,1.82,43.37,"23.87234043",25.021,0.1382,0.00552336,0.047,1.122,1.82,43.37,"23.87234043",41.19799888,78930.26083,643.66853,-9999,-9999,-9999,86.48710014,65997.87661,652.2690547,-0.570872568,0.288548747,-0.004171831,-9999,-9999,-9999,0.001942221,0.34209926,-0.006082135,10.45959,-9999,9.728516163,0.205369833,-9999,0.248829314,15.3909544,14.0051461,39.10331834,22.99753336,85.63676394,31.99878971,95.22949473,41.01873339,44.89836767,43.80607693,-9999,14.0051461,-9999,22.99753336,-9999,31.99878971,-9999,41.01873339,-9999,43.80607693,41.03163957,14.0051461,79.08654908,22.99753336,127.8500935,31.99878971,62.53874491,41.01873339,20.48724308,43.80607693,313.3576712,-9999,308.5589805,50.29134716,-9999,99.29867128,56.56846341,-9999,115.9418959,34.58298497,-9999,28.12328603,-1.723071381,0.090794114,-0.00050373,0.108513777,"nonevergreen","nontropical","perennial","C3","BoBD",1.261056757,90.12176443
"20","Betula","alleghaniensis","A",3,15,17.181,0.0976,0.005680694,0.026,0.853,1.31,43.23,"32.80769231",17.181,0.0976,0.005680694,0.026,0.853,1.31,43.23,"32.80769231",20.23666445,93793.53936,657.554554,-9999,-9999,-9999,57.6010339,44836.41937,652.3780512,-0.038079574,0.205808407,-0.003345378,-9999,-9999,-9999,1.992027269,0.162781422,-0.003256917,4.079708518,-9999,5.645308606,0.344176518,-9999,0.304446667,8.573675136,13.98983882,17.97556853,23.0782635,33.1967195,32.01065137,8.795806382,41.06788019,12.98851835,46.78302765,-9999,13.98983882,-9999,23.0782635,-9999,32.01065137,-9999,41.06788019,-9999,46.78302765,36.45076285,13.98983882,53.76670444,23.0782635,66.53103957,32.01065137,14.2051749,41.06788019,15.53064541,46.78302765,307.5918643,-9999,307.7038494,24.27480183,-9999,62.39707519,20.41498806,-9999,56.03575425,30.76011223,-9999,24.99011227,-1.970019893,0.076552943,-0.000309484,0.086972535,"nonevergreen","nontropical","perennial","C3","BoBD",0.779093596,123.6781812
